image,title,info,author,pub,price,date
https://image.yes24.com/goods/74419916/L,Do it! 점프 투 파이썬,,박응용,이지스퍼블리싱,"16,920",2019년 06월
https://image.yes24.com/goods/107490270/L,만들면서 배우는 파이썬과 40개의 작품들,"자동화, 크롤링, 이미지처리, 데이터분석, 웹페이지, GUI 프로그램, 게임, 인공지능 프로그램 직접 만들며 배우기",장문철,앤써북,"16,920",2022년 02월
https://image.yes24.com/goods/96024871/L,혼자 공부하는 머신러닝+딥러닝,1:1 과외하듯 배우는 인공지능 자습서,박해선,한빛미디어,"23,400",2020년 12월
https://image.yes24.com/goods/105803863/L,1일 1로그 100일 완성 IT 지식,"하드웨어, 소프트웨어, 통신, 데이터, 4가지 IT 근육으로 디지털 문해력 기르기",브라이언 W. 커니핸,인사이트(insight),"18,000",2021년 12월
https://image.yes24.com/goods/91433923/L,이것이 취업을 위한 코딩 테스트다 with 파이썬 ,"취업과 이직을 결정하는 알고리즘 인터뷰 완벽 가이드, C/C++, 자바 코드 제공",나동빈,한빛미디어,"30,600",2020년 08월
https://image.yes24.com/goods/109003861/L,"일잘러의 비밀, 엑셀 대신 파이썬으로 업무 자동화하기","엑셀 반복 업무로 지친 직장인, 파이썬으로 칼퇴하자!",포스코인재창조원,한빛미디어,"21,600",2022년 05월
https://image.yes24.com/goods/109625396/L,혼자 공부하는 파이썬,1:1 과외하듯 배우는 프로그래밍 자습서,윤인성,한빛미디어,"19,800",2022년 06월
https://image.yes24.com/goods/34970929/L,밑바닥부터 시작하는 딥러닝 ,파이썬으로 익히는 딥러닝 이론과 구현,사이토 고키,한빛미디어,"21,600",2017년 01월
https://image.yes24.com/goods/109753620/L,플로우가 보이는 머신러닝 프로젝트,우아한 머신러닝을 위한 완벽한 데이터 분석 with 파이썬,임선집,루비페이퍼,"28,800",2022년 05월
https://image.yes24.com/goods/109838545/L,나는 파이썬으로 머신러닝한다 1,코알못을 위한 인공지능 순한맛,최정원,씨마스,"19,800",2022년 06월
https://image.yes24.com/goods/109009095/L,이기적 빅데이터분석기사 실기 기본서,필답형 + Python 분석 + R 분석,나홍석,영진닷컴,"28,800",2022년 05월
https://image.yes24.com/goods/89959711/L,핸즈온 머신러닝,"사이킷런, 케라스, 텐서플로 2를 활용한 머신러닝, 딥러닝 완벽 실무",오렐리앙 제롱,한빛미디어,"49,500",2020년 05월
https://image.yes24.com/goods/91084402/L,파이썬 알고리즘 인터뷰,95가지 알고리즘 문제 풀이로 완성하는 코딩 테스트,박상길,책만,"34,200",2020년 07월
https://image.yes24.com/goods/108824557/L,파이썬 머신러닝 완벽 가이드,다양한 캐글 예제와 함께 기초 알고리즘부터 최신 기법까지 배우는,권철민,위키북스,"36,000",2022년 04월
https://image.yes24.com/goods/109209932/L,Do it! 점프 투 파이썬 라이브러리 예제 편,실무에 쓰는 라이브러리는 이 책에 다 있다!,박응용,이지스퍼블리싱,"23,400",2022년 05월
https://image.yes24.com/goods/109181647/L,파이썬 한권으로 끝내기,데이터분석전문가(ADP) + 빅데이터분석기사 실기대비,데싸라면,시대고시기획 시대교육,"24,300",2022년 06월
https://image.yes24.com/goods/89904189/L,Do it! 첫 파이썬,게임하듯 배우는 나의 첫 프로그래밍 책,엘리스 코딩,이지스퍼블리싱,"12,600",2020년 04월
https://image.yes24.com/goods/75193791/L,Do it! 점프 투 파이썬 -전면 개정판,,박응용,이지스퍼블리싱,"13,000",2019년 06월
https://image.yes24.com/goods/90617738/L,혼자 공부하는 첫 프로그래밍 with 파이썬 ,1:1 과외하듯 배우는 왕초보 코딩 입문서,문현일,한빛미디어,"15,300",2020년 06월
https://image.yes24.com/goods/104744072/L,미국 주식으로 시작하는 슬기로운 퀀트투자 (무료특별판),주린이+코알못도 파이썬으로 쉽게 따라 하는 퀀트투자 레시피,김용환,한빛미디어,0,2021년 10월
https://image.yes24.com/goods/108919240/L,엑셀이 편해지는 파이썬,엑셀 사용자를 위한 자동화 구축과 데이터 분석,펠릭스 춤슈타인,한빛미디어,"25,200",2022년 04월
https://image.yes24.com/goods/91358533/L,모두의 인공지능 기초 수학,누구나 쉽게 시작하는 인공지능 수학,서지영,길벗,"22,500",2020년 08월
https://image.yes24.com/goods/91437485/L,Do it! 파이썬 생활 프로그래밍,웹 크롤링부터 데이터 분석까지 내 손으로 직접 만든다!,김창현,이지스퍼블리싱,"18,000",2020년 07월
https://image.yes24.com/goods/91219874/L,Do it! 자료구조와 함께 배우는 알고리즘 입문 : 파이썬 편,,시바타 보요,이지스퍼블리싱,"19,800",2020년 07월
