title,author,pub,date,price,grade
NFT 레볼루션,"성소라,롤프 회퍼,스콧 맥러플린",더퀘스트,2021년 09월,"16,200",9.3
세븐 테크,"김미경,김상균,김세규,김승주,정지훈",웅진지식하우스,2022년 02월,"16,200",9.6
NFT 사용설명서 ,"맷 포트나우,큐해리슨 테리,남경보,이장우",여의도책방,2021년 11월,"16,200",9.5
"NFT, 처음 만나는 세계","심상용,디사이퍼,캐슬린 김,이민하,김성혜",시공아트,2022년 05월,"14,400",
한 걸음씩 따라 하는 NFT 아트,루미블루,루비페이퍼,2022년 06월,"16,200",
쉽게 따라하는 NFT 마스터 가이드,"티아나 로런스,김서영,정종화",한빛미디어,2022년 06월,"18,000",
나의 첫 NFT 교과서,"황성배,전래훈",페이지2,2022년 05월,"15,300",
나의 첫 NFT 투자 수업,"황정환,김현호,박지영,강민주",클랩북스,2022년 06월,"16,200",10.0
NFT 아트 실전 수업,돈신궁예,라이온북스,2022년 04월,"15,120",10.0
NFT 미래수업,홍기훈,한국경제신문사(한경비피),2022년 03월,"16,200",9.5
NFT는 처음입니다,김일동,세종서적,2022년 01월,"15,300",10.0
"암호화폐와 NFT, 무엇이 문제일까?",김승주,동아엠앤비,2022년 03월,"13,500",9.2
넥스트 NFT 레볼루션,"정재환,이요한,이선민",더퀘스트,2022년 05월,"14,400",10.0
NFT 초보자가 가장 알고 싶은 최다질문 TOP 50,김승주,메이트북스,2022년 05월,"16,200",9.7
"비트코인에 가려진 세상, 이더리움 ",코인 트레이너,지식오름,2022년 02월,"16,200",9.3
NFT 현명한 투자자,김동은,알투스,2022년 02월,"19,800",9.6
지금 팔리는 NFT,이유미,위즈덤하우스,2022년 04월,"14,400",10.0
NFT 레볼루션,"성소라,롤프 회퍼,스콧 맥러플린",더퀘스트,2021년 09월,"12,600",
NFT 사용설명서,"맷 포트나우,큐해리슨 테리,남경보,이장우",여의도책방,2021년 12월,"12,600",6.0
"메타버스, 이미 시작된 미래",이임복,천그루숲,2021년 06월,"14,400",9.4
미래를 읽다 과학이슈 11 SEASON 12,"오혜진,김준래,원호섭,고재웅,신방실",동아엠앤비,2022년 02월,"16,200",10.0
저는 NFT 미술 투자가 처음인데요,눕미(김중혁),슬로디미디어,2022년 06월,"14,400",
NFT 실체와 가치,장세형,위키북스,2022년 03월,"22,500",9.9
만화 어게인 마이 라이프 AGAIN MY LIFE 1 ,"이해날,도경,선용민",로크미디어,2022년 04월,"14,400",
NFT의 시대,이시한,다산북스,2022년 01월,"16,200",9.9
