기간	컬럼1	발생량	재활용	재활용	재활용	소각	매립	기타
기간	컬럼1	발생량	소계	재활용	음식물	소각	매립	기타
2020	계	9,673.4	6,408.3	3,868.7	2,539.6	2,288.8	948.5	27.7
2020	처리비율	100	66.2	40	26.3	23.7	9.8	0.3
2020	종로구	264.2	153.5	77.4	76	83.4	25.9	1.4
2020	중구	357.5	198	117.9	80.1	128.4	31.1	-
2020	용산구	301.2	197.2	133.6	63.7	77.6	26.2	0.2
2020	성동구	301.2	201.9	123.7	78.2	62.4	26.6	10.2
2020	광진구	343.1	238.8	152	86.8	82.9	21.4	-
2020	동대문구	440.1	330.9	240.1	90.8	86.6	22.6	-
2020	중랑구	337.6	226.6	139.9	86.7	92.5	18.5	-
2020	성북구	361.6	245.9	158.5	87.4	101.1	14.2	0.3
2020	강북구	243.1	146	77.2	68.7	88.8	8.4	-
2020	도봉구	300.9	199	126.2	72.8	94.5	7.1	0.3
2020	노원구	394.8	280.2	162.7	117.5	107.1	5.3	2.2
2020	은평구	380.4	223	143.4	79.5	52.7	104.6	0.2
2020	서대문구	285.3	175.8	112.4	63.4	78.6	30.9	-
2020	마포구	366.4	218.4	133.8	84.6	114.2	33.9	-
2020	양천구	394.4	285.9	196.8	89	90.2	18.4	-
2020	강서구	526.8	365.7	221.7	144.1	103.6	56.2	1.2
2020	구로구	329.6	172.5	90.5	82.1	109.1	47.9	-
2020	금천구	274.5	188.7	133.7	55	15.7	67.6	2.4
2020	영등포구	449.4	297.2	160.8	136.4	121.5	26.8	3.9
2020	동작구	324.5	237	151.7	85.3	66.4	18.7	2.3
2020	관악구	401.6	282.8	188.7	94.1	30.5	88.2	-
2020	서초구	504.8	298.4	142.6	155.8	127.3	79.2	-
2020	강남구	694.9	455.5	213.1	242.4	203	35	1.3
2020	송파구	727.5	541	332.5	208.5	97	88.3	1.2
2020	강동구	368	248.3	137.9	110.4	73.6	45.6	0.4
