store,address,phone,address2
강남역12번출구점,서울특별시 강남구 테헤란로 111 2층  ,02-569-5838,서울특별시 강남구 테헤란로 111 2층
서초부띠크모나코점,서울특별시 서초구 서초대로 397 부띠크모나코 1층  ,02-537-4662,서울특별시 서초구 서초대로 397 부띠크모나코 1층
송파파크하비오점,서울특별시 송파구 송파대로 111 송파파크하비오 205동 1층 110-113  ,02-449-6881,서울특별시 송파구 송파대로 111 송파파크하비오 205동 1층 110-113
문정역엠스테이트점,서울 송파구 문정동 643-1번지 엠스테이트 B동 지하1층  ,02-6177-9080,서울특별시 송파구 문정동 643-1번지 엠스테이트 B동 지하1층
상봉역점,서울특별시 중랑구 망우로 291 1층  ,02-493-8902,서울특별시 중랑구 망우로 291 1층
강동경희대병원앞점,서울특별시 강동구 동남로 885 양지빌딩 1층  ,02-481-9938,서울특별시 강동구 동남로 885 양지빌딩 1층
노원역점,"서울시 노원구 노해로 490, 길빌딩 2층  ",02-952-9577,"서울특별시 노원구 노해로 490, 길빌딩 2층"
합정역점,"서울시 마포구 독막로 13, 2층  ",02-338-9178,"서울특별시 마포구 독막로 13, 2층"
종각역점,서울시 종로구 종로 70 2층  ,02-739-6268,서울특별시 종로구 종로 70 2층
평택소사점,"경기도 평택시 평남로 862, 로이드빌딩 1층  ",031-692-2405,"경기도 평택시 평남로 862, 로이드빌딩 1층"
몽촌토성역점,"서울시 송파구 방이동 44-2, 장은빌딩 1층  ",02-2141-0407,"서울특별시 송파구 방이동 44-2, 장은빌딩 1층"
도곡동지오빌딩점,"서울특별시 강남구 도곡동 543-1, 지오빌딩 B1층  ",02-2058-3027,"서울특별시 강남구 도곡동 543-1, 지오빌딩 B1층"
강북구청앞점,"서울특별시 강북구 한천로 139길 25, 1층 일부 및 2층 (수유동 191-70)  ",02-994-8878,"서울특별시 강북구 한천로 139길 25, 1층 일부 및 2층 (수유동 191-70)"
송도트리플스트리트점," 인천 연수구 송도과학로 16번길 33-4 D동 119호,207호  ",032-310-9644,"인천광역시 연수구 송도과학로 16번길 33-4 D동 119호,207호"
구의삼성쉐르빌점,서울특별시 광진구 구의강변로 106 삼성쉐르빌 1층  ,02-2201-8953,서울특별시 광진구 구의강변로 106 삼성쉐르빌 1층
여의도SK증권빌딩점,서울특별시 영등포구 국제금융로8길31 여의도SK증권빌딩점 1층  ,02-6484-5150,서울특별시 영등포구 국제금융로8길31 여의도SK증권빌딩점 1층
현대시티몰가든파이브점,서울특별시 송파구 충민로 66 가든파이브 라이프동 테크노관 1층  ,02-2673-2110,서울특별시 송파구 충민로 66 가든파이브 라이프동 테크노관 1층
